OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887628,16996,-3
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887883,17250,-2
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887913,17284,-1
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980887949,17310,0
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980888021,17390,1
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980888695,18064,2
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980888743,18106,3
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980889750,19120,4
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980889911,19271,5
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980889979,19345,6
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980890811,20181,7
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980890840,20202,8
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980890888,20255,9
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980891756,21118,10
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980891798,21163,11
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980900514,29883,10
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980900561,29925,9
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980900658,30029,8
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980900718,30084,7
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980901162,30532,6
1_moh99.mp4 - 60.05,F3932CDB-825F-0D65-4A68-51E8FD028AB1_19,1D8DFC94-778B-0969-9390-9F8A5B9C33EE,D3B6E4F7-AECD-966C-899C-676DDD591A91,1678980901197,30569,5
